"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Raph1",1.32248767700471e-10,0.184447305221594,0.382,0.274,3.70270099807779e-06,"Raph1"
"Fam208a",1.32727498690522e-10,0.20178408288303,0.467,0.362,3.71610450833725e-06,"Fam208a"
"Ccnk",1.32730968462651e-10,0.105982607759016,0.17,0.096,3.71620165501731e-06,"Ccnk"
"Pikfyve",1.33194697890485e-10,0.132727581232226,0.236,0.147,3.7291851515378e-06,"Pikfyve"
"Mgat3",1.33666490324067e-10,0.127321058215184,0.247,0.155,3.74239439609323e-06,"Mgat3"
"Rbm28",1.33738927848921e-10,0.183699879255961,0.385,0.279,3.7444225019141e-06,"Rbm28"
"Med13l",1.33951622017541e-10,0.142818257409566,0.271,0.175,3.75037751324711e-06,"Med13l"
"Mturn",1.34795615747324e-10,0.137947780254941,0.212,0.128,3.77400764969358e-06,"Mturn"
"Ist1",1.35380153971684e-10,0.195512353511546,0.399,0.293,3.7903735508992e-06,"Ist1"
"Stk26",1.38067117433587e-10,0.106424567008352,0.102,0.048,3.86560315390556e-06,"Stk26"
"Wdr33",1.39743389796582e-10,0.155697640751323,0.301,0.203,3.9125354275247e-06,"Wdr33"
"Pdzrn4",1.40623666675826e-10,0.214132905355157,0.233,0.149,3.93718141958979e-06,"Pdzrn4"
"Slc35a1",1.40846469161953e-10,0.138293481506105,0.292,0.193,3.94341944359636e-06,"Slc35a1"
"Gorab",1.41128509179077e-10,0.152989019191437,0.193,0.115,3.95131599999581e-06,"Gorab"
"Mrpl37",1.42630298275253e-10,0.135607904982172,0.24,0.15,3.99336309111054e-06,"Mrpl37"
"Tmem69",1.44241725304537e-10,0.0867691739181534,0.105,0.05,4.03847982507642e-06,"Tmem69"
"Mettl17",1.44370118121999e-10,0.0988095717850906,0.192,0.111,4.04207456717973e-06,"Mettl17"
"Pik3c3",1.4727515865171e-10,0.127234591665412,0.204,0.122,4.12340989193057e-06,"Pik3c3"
"Prkcq",1.49251725516249e-10,-0.136530682862769,0.032,0.111,4.17874981100395e-06,"Prkcq"
"Fars2",1.51610625662142e-10,0.138863886273531,0.219,0.134,4.24479429728865e-06,"Fars2"
"Pdhx",1.53436337860258e-10,0.144186957524078,0.286,0.189,4.29591058741151e-06,"Pdhx"
"Syngr2",1.54033073005885e-10,-0.142707965626563,0.046,0.131,4.31261797801876e-06,"Syngr2"
"Abl2",1.54408280873383e-10,0.113890877395326,0.187,0.109,4.32312304789299e-06,"Abl2"
"Lgals3bp",1.54414415579257e-10,0.0942473809658333,0.12,0.06,4.32329480738803e-06,"Lgals3bp"
"Inip",1.55430519274722e-10,0.103729741359523,0.158,0.087,4.35174367865365e-06,"Inip"
"Pde4dip",1.58511201452596e-10,0.178212620162479,0.377,0.269,4.43799661826977e-06,"Pde4dip"
"Emc1",1.59128814971595e-10,0.19037356163946,0.479,0.367,4.45528856157473e-06,"Emc1"
"Tnrc6b",1.5944198792045e-10,0.164949003916956,0.472,0.357,4.46405677779676e-06,"Tnrc6b"
"Neu1",1.59829727844319e-10,0.166352403872845,0.356,0.251,4.47491272018525e-06,"Neu1"
"Bax",1.60103622430773e-10,0.213502064376579,0.584,0.487,4.48258122081677e-06,"Bax"
"Zbtb14",1.62832863482239e-10,0.105857804269027,0.187,0.108,4.55899451177574e-06,"Zbtb14"
"Abcd3",1.63167914077252e-10,0.169720116512814,0.42,0.309,4.56837525833491e-06,"Abcd3"
"Fxr2",1.63221610703108e-10,0.192253579502238,0.371,0.269,4.56987865646563e-06,"Fxr2"
"Pnpt1",1.63856918445998e-10,0.118777573970036,0.21,0.127,4.58766600265104e-06,"Pnpt1"
